,ProofType,Algorithm,CoinName,PC 1,PC 2,PC 3,class
42,PoW/PoS,Scrypt,42 Coin,-0.32680714492757035,1.1355975472582696,-0.1619354310369317,0
404,PoW/PoS,Scrypt,404Coin,-0.30944244426101164,1.135817482035791,-0.16225591177548795,0
1337,PoW/PoS,X13,EliteCoin,2.4143980265763245,1.718243951097501,-0.20924572161042723,0
BTC,PoW,SHA-256,Bitcoin,-0.1453627049253487,-1.33721604586333,0.05713236814864289,1
ETH,PoW,Ethash,Ethereum,-0.13099693627101422,-2.102896969820515,0.11871075412500985,1
LTC,PoW,Scrypt,Litecoin,-0.16023420028456714,-1.0762082194382978,0.011918757844449084,1
DASH,PoW/PoS,X11,Dash,-0.3746851730534678,1.295646431252394,-0.1837377802643491,0
XMR,PoW,CryptoNight-V7,Monero,-0.14346397291256283,-2.2370269991484864,0.10761134717500265,1
ETC,PoW,Ethash,Ethereum Classic,-0.129376030290797,-2.102990507053123,0.11870109335514982,1
ZEC,PoW,Equihash,ZCash,-0.16294666757819423,-2.123428519821363,0.18103564340333123,1
BTS,PoS,SHA-512,Bitshares,-0.27192600235972036,0.9896408590527979,-0.0348457600714844,0
DGB,PoW,Multiple,DigiByte,0.1896708640493353,-1.8794587132787617,0.06763080572352069,1
BTCD,PoW/PoS,SHA-256,BitcoinDark,-0.31071775063400314,0.8745712212705994,-0.1167382741809895,0
XPY,PoS,SHA-256,PayCoin,-0.26337328745537514,0.5367663998405477,-0.040584144309299276,0
PRC,PoW,Scrypt,ProsperCoin,-0.1614283333304776,-1.0762045517589642,0.011937459765500416,1
KOBO,PoW/PoS,X15,KoboCoin,-0.23359058855957537,1.973113257004795,-0.1742479487783294,0
SPR,PoW,X11,Spreadcoin,-0.20952246427949053,-0.9161467525682885,-0.009862970147381302,1
ARG,PoW,Scrypt,Argentum,-0.1610292328826354,-1.0762213888302412,0.011933981288027007,1
AUR,PoW/PoS,Scrypt,Aurora Coin,-0.32645247329933286,1.1355978403178169,-0.16194123119693807,0
BLU,PoW/PoS,Scrypt,BlueCoin,-0.3187127458234531,1.1358764870474578,-0.16211614636548605,0
XMY,PoW,Multiple,MyriadCoin,-0.07423442511523395,-1.8750364189788333,0.07112263774668771,1
MOON,PoW,Scrypt,MoonCoin,2.670084409261997,-1.2517927587606137,-0.0027739807906545007,1
ZET,PoW,SHA-256,ZetaCoin,-0.14232564188618252,-1.3372172400275504,0.05708335885899969,1
SXC,PoW,Scrypt,SexCoin,-0.1581705678514489,-1.0762551981361437,0.01189365462713902,1
QTL,PoW,Scrypt,Quatloo,-0.16082551381377572,-1.0762399790735722,0.011933980638615999,1
ENRG,PoW/PoS,Scrypt,EnergyCoin,-0.325239500093316,1.1356515696395475,-0.16197043023603971,0
QRK,PoW,Quark,QuarkCoin,-0.22797509518314812,-0.6086263716283739,0.054407222601073474,1
RIC,PoW,Groestl,Riecoin,-0.2111430682637826,-1.2796949466495822,0.0947679601051398,1
DGC,PoW,Scrypt,Digitalcoin ,-0.16087546621662688,-1.076204825518822,0.011928548122012982,1
BTB,PoW/PoS,Scrypt,BitBar,-0.32680291620724783,1.1355973373109884,-0.16193546229173875,0
CAT,PoW,Scrypt,Catcoin,-0.16140984140951073,-1.07620391451191,0.01193704691540088,1
CBX,PoW/PoS,Scrypt,CryptoBullion,-0.3267865345730915,1.1355975461333965,-0.16193576486684727,0
CCN,PoW,Scrypt,CannaCoin,-0.1614998548665606,-1.0762014248091696,0.01193806366569248,1
CRYPT,PoW,X11,CryptCoin,-0.20961559021801635,-0.9161485389563789,-0.009861143663487342,1
CSC,PoC,Scrypt,CasinoCoin,0.6035264809567218,0.45214461948694945,-0.1447100987092254,0
DMD,PoW/PoS,Groestl,Diamond,-0.37746976784841874,0.932116189934403,-0.07909117315318703,0
XVG,PoW,Multiple,Verge,0.21451256448401915,-1.8754404531885065,0.06651469122779907,1
DVC,PoW,SHA-256,DevCoin,0.24826724568943756,-1.3385757899872912,0.05099429743552606,1
EAC,PoW,Scrypt,EarthCoin,0.09762600606672758,-1.0768663479521128,0.007856508492315699,1
EFL,PoW,Scrypt,E-Gulden,-0.1612354435597107,-1.0761979046162256,0.01193315331398651,1
EMC2,PoW,Scrypt,Einsteinium,-0.15665778925582413,-1.0762384891147274,0.011866170237134672,1
EMD,PoW,Scrypt,Emerald,-0.1611723344155029,-1.0762035552751423,0.011933133878361006,1
EXCL,PoS,PoS,Exclusive Coin,-0.32792891456447615,1.3765405706173088,-0.13118742853547097,0
